time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
0.000000000000000e+000	4.616946e-007	1.000000e+002
1.056735057723547e-012	1.223339e-002	1.000000e+002
1.170205181162247e-012	4.461664e-007	1.000000e+002
1.397145428039647e-012	4.461610e-007	1.000000e+002
1.851025921794447e-012	4.461556e-007	1.000000e+002
2.758786909304048e-012	4.461393e-007	1.000001e+002
4.574308884323248e-012	4.758480e-007	1.000001e+002
8.205352834361649e-012	4.757863e-007	1.000002e+002
1.546744073443845e-011	4.673175e-007	1.000003e+002
2.425821500377468e-011	4.751852e-007	1.000005e+002
3.361029054436782e-011	4.924257e-007	1.000007e+002
4.457087743246184e-011	4.982778e-007	1.000009e+002
5.493433614447986e-011	5.097910e-007	1.000011e+002
6.990438965078373e-011	5.255998e-007	1.000014e+002
8.710054728949093e-011	5.518509e-007	1.000017e+002
1.104628129363586e-010	5.712443e-007	1.000022e+002
1.383176611755535e-010	6.028035e-007	1.000026e+002
1.756797132699965e-010	6.561092e-007	1.000032e+002
2.220472263560852e-010	7.276925e-007	1.000039e+002
2.844903083992105e-010	8.330750e-007	1.000047e+002
3.664440810450949e-010	1.012163e-006	1.000057e+002
4.846978125623920e-010	1.276357e-006	1.000067e+002
6.657070053635219e-010	1.578112e-006	1.000080e+002
8.727863604130710e-010	1.865131e-006	1.000092e+002
1.153137844608437e-009	1.991263e-006	1.000106e+002
1.441818921892987e-009	2.222867e-006	1.000120e+002
1.906243901827978e-009	3.700350e-006	1.000140e+002
1.990904218556950e-009	-4.476253e-007	1.000135e+002
2.160224852014894e-009	-1.976274e-007	1.000083e+002
2.243004100782320e-009	-6.969102e-008	1.000008e+002
2.298837529922493e-009	-3.172780e-008	9.998845e+001
2.350920864278935e-009	-1.847675e-008	9.996675e+001
2.388806325078673e-009	-1.099175e-008	9.993977e+001
2.424423942476472e-009	-7.321192e-009	9.989987e+001
2.454184955760561e-009	-4.971781e-009	9.985046e+001
2.482656146122668e-009	-3.515229e-009	9.978274e+001
2.510694129902446e-009	-2.538651e-009	9.968969e+001
2.538528354837395e-009	-1.830947e-009	9.956263e+001
2.566940433601152e-009	-1.291816e-009	9.938244e+001
2.602979230065517e-009	-9.326228e-010	9.906354e+001
2.642073973436842e-009	-6.608321e-010	9.857658e+001
2.688480337734546e-009	-4.824598e-010	9.776920e+001
2.739519074762138e-009	-3.578439e-010	9.655608e+001
